"","data_1.sale_price","data_1.land_sq","data_1.zipcode","data_1.residential_units","data_1.commercial_units"
"1",2214693,0,10014,0,0
"2",1654656,0,10014,0,0
"3",1069162,0,10014,0,0
"4",1374637,0,10014,0,0
"5",1649565,0,10014,0,0
"6",1705568,0,10014,0,0
"7",2036500,0,10014,0,0
"8",2214693,0,10014,0,0
"9",2418343,0,10014,0,0
"10",2749275,0,10014,0,0
"11",2189237,0,10014,0,0
"12",2291062,0,10014,0,0
"13",1603743,0,10014,0,0
"14",2927468,0,10014,0,0
"15",3640243,0,10014,0,0
"16",3232943,0,10014,0,0
"17",6898643,0,10014,0,0
"18",360000,0,10009,0,0
"19",3150000,2381,10009,3,0
"20",3450000,0,10009,1,0
"21",3650000,2426,10009,20,0
"22",895250,2726,10009,13,0
"23",283,2093,10009,7,1
"24",3500000,2164,10009,17,0
"25",13185684,3574,10009,25,2
"26",3810602,4452,10009,36,3
"27",7333333,2404,10009,10,1
"28",7333333,2404,10009,9,1
"29",7333333,2404,10009,9,1
"30",7000000,2404,10009,18,2
"31",12603963,3020,10009,25,2
"32",8500000,2370,10009,18,0
"33",8892981,3872,10009,28,2
"34",9528194,3872,10009,28,2
"35",4653771,2581,10009,10,0
"36",4653771,2581,10009,10,0
"37",9600000,2369,10009,12,1
"38",355000,0,10009,0,0
"39",294500,0,10009,0,0
"40",244000,0,10009,0,0
"41",375000,0,10009,0,0
"42",25423,0,10009,0,0
"43",510000,0,10009,0,0
"44",304200,0,10009,0,0
"45",372000,0,10009,0,0
"46",960000,0,10009,0,0
"47",346000,0,10009,0,0
"48",303000,0,10009,0,0
"49",302000,0,10009,0,0
"50",309000,0,10009,0,0
"51",245000,0,10009,0,0
"52",747000,0,10009,0,0
"53",531000,0,10009,0,0
"54",319900,0,10009,0,0
"55",554946,0,10009,0,0
"56",545000,0,10009,0,0
"57",707000,0,10009,0,0
"58",340000,0,10009,0,0
"59",687000,0,10009,0,0
"60",460000,0,10009,0,0
"61",370000,0,10009,0,0
"62",327447,0,10009,0,0
"63",310000,0,10009,0,0
"64",260000,0,10009,0,0
"65",375000,0,10009,0,0
"66",445000,0,10009,0,0
"67",575000,0,10009,0,0
"68",886000,0,10009,0,0
"69",257500,0,10009,0,0
"70",295000,0,10009,0,0
"71",295000,0,10009,0,0
"72",645000,0,10009,0,0
"73",500000,0,10009,0,0
"74",587000,0,10009,0,0
"75",520000,0,10009,0,0
"76",550000,0,10009,0,0
"77",550000,0,10009,0,0
"78",845000,0,10009,0,0
"79",529790,0,10009,0,0
"80",470000,0,10009,0,0
"81",909000,0,10009,0,0
"82",870000,0,10009,0,0
"83",538000,0,10009,0,0
"84",685000,0,10009,0,0
"85",760000,0,10009,0,0
"86",260000,0,10009,0,0
"87",355500,0,10009,0,0
"88",825000,0,10009,0,0
"89",621000,0,10009,0,0
"90",875000,0,10009,0,0
"91",1062500,0,10009,1,0
"92",825000,0,10009,1,0
"93",10,0,10009,1,0
"94",1150000,0,10009,1,0
"95",725000,0,10009,1,0
"96",795000,0,10009,1,0
"97",980000,0,10009,1,0
"98",780000,0,10009,1,0
"99",510000,0,10002,1,0
"100",975000,0,10002,1,0
"101",560000,0,10002,1,0
"102",870000,0,10002,1,0
"103",850000,0,10009,1,0
"104",750000,0,10009,1,0
"105",500000,0,10009,1,0
"106",1100000,0,10002,1,0
"107",1100000,0,10002,1,0
"108",1680000,0,10002,1,0
"109",1450000,0,10009,1,0
"110",870000,0,10009,1,0
"111",975000,0,10009,1,0
"112",850000,0,10009,1,0
"113",1710000,0,10009,1,0
"114",2800000,1940,10009,3,1
"115",2450000,1500,10009,4,1
"116",3800000,2201,10009,4,1
"117",690000,0,10009,1,0
"118",660000,0,10009,1,0
"119",1642000,0,10009,1,0
"120",675000,0,10009,1,0
"121",910000,0,10009,0,0
"122",223993,0,10009,0,0
"123",599000,0,10009,0,0
"124",905000,0,10009,0,0
"125",1400000,0,10009,0,0
"126",1800000,2186,10009,0,1
"127",15500000,8100,10009,0,1
"128",1957475,2169,10009,0,0
"129",7000000,5893,10009,0,1
"130",2,2581,10009,20,0
"131",3275000,2581,10009,0,0
"132",2400000,2160,10009,0,1
"133",4650000,2139,10009,2,1
"134",3200000,2139,10009,2,1
"135",5650000,0,10001,0,0
"136",28358,0,10001,0,0
"137",75000,0,10011,0,0
"138",16000000,0,10011,0,0
"139",775000,0,10011,0,0
"140",9000000,0,10011,0,0
"141",1750000,0,10001,0,0
"142",1650000,0,10001,0,0
"143",3700000,0,10001,0,0
"144",5400000,1528,10011,1,0
"145",7180000,1894,10011,1,0
"146",7935000,1064,10011,1,0
"147",4000000,937,10001,1,0
"148",15500000,2000,10011,1,0
"149",6990000,1397,10011,2,0
"150",4250000,1533,10011,3,0
"151",5867000,2074,10011,3,0
"152",5750000,2248,10011,5,0
"153",3530000,1026,10011,7,1
"154",4600000,1580,10011,4,0
"155",4650000,1547,10011,4,0
"156",3900000,2057,10011,5,0
"157",6534977,1528,10011,6,0
"158",6000000,2300,10011,17,0
"159",9000000,2300,10011,16,0
"160",1600000,1397,10011,8,0
"161",3000000,1397,10011,8,0
"162",15900000,2500,10011,10,1
"163",4250000,2197,10001,19,0
"164",6800000,3000,10011,6,2
"165",2700000,1478,10011,8,0
"166",21200000,9875,10011,59,0
"167",10500000,2938,10001,20,0
"168",11000000,2469,10001,10,0
"169",6750000,2000,10011,5,0
"170",27500000,7281,10001,28,3
"171",14500000,5132,10011,21,1
"172",37000000,14815,10001,68,0
"173",1911390,2925,10011,23,1
"174",2176160,4090,10001,11,2
"175",510000,0,10011,0,0
"176",735000,0,10011,0,0
"177",1800000,0,10011,0,0
"178",990000,0,10011,0,0
"179",810000,0,10011,0,0
"180",1660000,0,10011,0,0
"181",1900000,0,10011,0,0
"182",1465000,0,10011,0,0
"183",2000400,0,10011,0,0
"184",1200000,0,10001,0,0
"185",360000,0,10001,0,0
"186",575000,0,10011,0,0
"187",560000,0,10011,0,0
"188",360000,0,10011,0,0
"189",375000,0,10011,0,0
"190",850338,0,10011,0,0
"191",645000,0,10011,0,0
"192",785000,0,10011,0,0
"193",445000,0,10011,0,0
"194",350000,0,10011,0,0
"195",715000,0,10011,0,0
"196",627500,0,10011,0,0
"197",260000,0,10011,0,0
"198",477500,0,10011,0,0
"199",620000,0,10011,0,0
"200",775000,0,10011,0,0
"201",1195000,0,10011,0,0
"202",525000,0,10011,0,0
"203",390000,0,10011,0,0
"204",375000,0,10011,0,0
"205",455000,0,10011,0,0
"206",395000,0,10011,0,0
"207",425000,0,10011,0,0
"208",515000,0,10011,0,0
"209",645000,0,10011,0,0
"210",500000,0,10011,0,0
"211",268000,0,10011,0,0
"212",705000,0,10011,0,0
"213",720000,0,10011,0,0
"214",480000,0,10011,0,0
"215",1350000,0,10011,0,0
"216",2100000,0,10011,0,0
"217",4800000,0,10011,0,0
"218",720000,0,10011,0,0
"219",730000,0,10011,0,0
"220",860000,0,10011,0,0
"221",3696,0,10001,0,0
"222",4528,0,10001,0,0
"223",680000,0,10001,0,0
"224",649500,0,10001,0,0
"225",645000,0,10001,0,0
"226",994250,0,10001,0,0
"227",1060000,0,10001,0,0
"228",654500,0,10011,0,0
"229",427500,0,10011,0,0
"230",435000,0,10011,0,0
"231",1265000,0,10011,0,0
"232",1100000,0,10011,0,0
"233",452000,0,10011,0,0
"234",440000,0,10011,0,0
"235",475000,0,10011,0,0
