"reg_date","gender","age","withdraw_date","user_reg_pref_name","user_id"
2011-03-03,0,44,NA,"aichi","u17446"
2010-12-03,1,30,NA,"miyagi","u15190"
2011-07-04,1,46,NA,NA,"u2627"
2011-12-16,1,35,NA,"fukuoka","u9903"
2011-02-15,0,33,NA,"tokyo","u14946"
2012-05-01,1,52,NA,"tokyo","u19320"
2011-06-19,1,69,NA,"tokyo","u5085"
2011-08-04,1,55,NA,"hiroshima","u15970"
2011-12-06,1,42,NA,NA,"u12915"
2012-03-26,1,35,NA,"aichi","u19987"
2010-09-05,1,39,NA,"tokyo","u5335"
2011-12-05,0,36,NA,NA,"u18995"
2011-07-25,1,30,2011-08-13 19:27:16,NA,"u6636"
2011-08-23,1,45,NA,"osaka","u14140"
2011-04-28,1,58,2011-10-13 15:21:21,NA,"u4645"
2010-11-11,0,49,NA,"kyoto","u2944"
2011-10-01,1,42,NA,NA,"u894"
2011-06-11,0,60,NA,"tokushima","u10227"
2011-02-16,0,29,NA,"tokyo","u9304"
2012-01-12,1,47,NA,"saitama","u15377"
2011-11-28,1,32,NA,NA,"u2169"
2011-02-16,1,48,NA,"fukuoka","u1500"
2010-12-02,1,32,NA,"oita","u16589"
2012-02-12,0,36,NA,"tokyo","u15005"
2012-02-18,0,29,NA,NA,"u2760"
2011-01-15,0,65,NA,"fukuoka","u4795"
2011-06-08,1,31,NA,"tokyo","u16656"
2011-07-18,1,40,NA,"tochigi","u19912"
2011-07-20,0,29,NA,"osaka","u1790"
2011-10-02,1,25,NA,"ibaraki","u9490"
2011-08-18,0,59,2011-10-03 10:36:31,NA,"u15514"
2012-06-11,1,45,NA,NA,"u11745"
2011-12-02,0,28,NA,"osaka","u8037"
2011-05-28,1,51,NA,"kanagawa","u15160"
2010-12-18,0,59,NA,"fukuoka","u10039"
2011-08-18,1,24,NA,NA,"u9913"
2011-05-26,1,59,NA,"osaka","u7615"
2010-11-27,1,30,NA,"kanagawa","u20937"
2011-12-03,1,52,NA,"kanagawa","u6258"
2011-05-31,1,66,NA,NA,"u366"
2011-08-09,0,22,NA,NA,"u11906"
2011-07-03,1,34,NA,"osaka","u12136"
2011-07-22,1,31,NA,"shimane","u3188"
2011-06-05,1,34,NA,"aichi","u6049"
2012-02-04,0,32,NA,NA,"u16946"
2011-12-31,0,29,NA,NA,"u4013"
2010-11-11,1,29,NA,"kanagawa","u2963"
2012-01-13,0,58,NA,"gunma","u12718"
2012-06-12,1,70,NA,"kanagawa","u9356"
2011-10-02,0,41,NA,NA,"u12597"
2011-07-18,1,43,NA,"tochigi","u5232"
2011-06-24,1,45,2011-07-13 16:23:24,"fukushima","u4123"
