purchase_flag,age,  price_rate  ,usable_days,unique_referrer,sessions,item_count
1,22,0.86,7,4,9,1
0,22,0.56,7,1,1,0
0,22,0.5,7,2,2,0
0,22,0.5,7,1,1,0
0,22,0.62,7,1,1,0
0,22,0.53,7,1,1,0
0,22,0.55,5,1,1,0
0,22,0.5,7,1,1,0
0,22,0.53,6,1,2,0
0,22,0.72,7,1,1,0
0,22,0.5,7,2,2,0
0,22,0.65,7,1,1,0
0,22,0.54,6,1,1,0
0,22,0.75,7,1,1,0
0,22,0.9,7,3,4,0
0,22,0.56,7,1,1,0
0,22,0.65,7,1,1,0
0,22,0.65,7,1,1,0
0,22,0.76,7,1,1,0
0,22,0.8,6,1,3,0
0,22,0.54,7,1,1,0
0,22,0.57,7,1,2,0
0,22,0.59,7,1,1,0
0,22,0.62,7,1,1,0
1,22,0.86,7,2,2,1
0,22,0.89,7,1,1,0
0,22,0.5,6,1,1,0
0,22,0.8,7,3,3,0
0,22,0.83,7,1,2,0
0,22,0.61,7,1,1,0
0,22,0.5,7,1,1,0
0,22,0.51,7,1,1,0
0,22,0.5,7,1,1,0
1,22,0.83,7,3,3,1
0,22,0.5,7,1,1,0
0,23,0.52,7,1,1,0
0,23,0.9,7,1,1,0
1,23,0.51,6,2,4,1
0,23,0.52,7,1,1,0
0,23,0.7,7,1,3,0
1,23,0.5,7,2,5,1
0,23,0.64,7,1,2,0
0,23,0.9,7,1,1,0
0,23,0.5,6,2,2,0
1,23,0.95,7,2,2,1
0,23,0.64,7,1,2,0
0,23,0.76,7,1,2,0
1,23,0.93,7,1,1,1
1,23,0.52,7,2,4,1
0,24,0.5,7,1,1,0
0,24,0.52,7,2,3,0
0,24,0.5,5,1,1,0
0,24,0.54,7,1,1,0
0,24,0.65,7,1,1,0
0,24,0.87,7,1,1,0
0,24,0.5,7,1,1,0
0,24,0.61,7,2,2,0
0,24,0.53,7,1,1,0
0,24,0.5,7,1,1,0
0,24,0.5,7,3,3,0
0,24,0.51,7,1,1,0
0,24,0.53,7,1,1,0
0,24,0.56,7,3,3,0
0,24,0.58,7,2,2,0
0,24,0.59,7,1,1,0
0,24,0.6,7,3,3,0
0,24,0.64,7,2,2,0
0,24,0.66,7,2,2,0
0,24,0.71,7,1,1,0
1,24,0.84,7,3,8,1
0,24,0.85,7,1,1,0
0,24,0.89,7,1,1,0
0,24,0.63,7,1,1,0
0,24,0.69,7,1,1,0
0,24,0.7,7,1,1,0
0,24,0.75,7,1,1,0
0,24,0.51,7,1,1,0
0,24,0.58,7,1,1,0
1,24,0.5,7,4,6,1
0,24,0.66,7,1,1,0
0,24,0.75,7,1,1,0
0,24,0.8,7,1,1,0
1,24,0.9,7,3,3,1
0,24,0.93,7,1,2,0
1,24,0.95,7,2,3,1
0,24,0.5,5,1,1,0
0,24,0.5,7,2,2,0
0,24,0.73,5,1,2,0
0,24,0.35,7,1,1,0
0,24,0.5,7,14,21,0
0,24,0.51,7,5,7,0
0,24,0.52,7,1,1,0
0,24,0.53,7,4,4,0
0,24,0.54,7,2,2,0
0,24,0.55,7,2,2,0
0,24,0.56,7,1,3,0
0,24,0.57,7,2,2,0
0,24,0.58,7,1,1,0
0,24,0.59,7,2,2,0
0,24,0.6,7,1,1,0
0,24,0.61,7,2,2,0
0,24,0.62,7,2,2,0
0,24,0.63,7,1,1,0
0,24,0.65,7,1,1,0
0,24,0.66,7,1,2,0
0,24,0.67,7,1,2,0
0,24,0.68,7,2,4,0
0,24,0.7,7,1,2,0
0,24,0.71,7,1,1,0
0,24,0.73,7,2,3,0
0,24,0.74,7,2,2,0
0,24,0.75,7,1,1,0
0,24,0.76,7,4,4,0
0,24,0.77,7,2,3,0
0,24,0.78,7,2,7,0
0,24,0.79,7,3,3,0
0,24,0.8,7,5,5,0
0,24,0.81,7,2,2,0
0,24,0.82,7,3,3,0
0,24,0.83,7,5,5,0
0,24,0.84,7,2,2,0
0,24,0.85,7,2,4,0
0,24,0.86,7,2,2,0
0,24,0.87,7,2,4,0
0,24,0.89,7,1,1,0
0,24,0.5,7,2,3,0
0,24,0.52,7,2,2,0
0,24,0.53,6,1,1,0
0,24,0.53,7,1,1,0
0,24,0.54,7,1,1,0
0,24,0.54,7,2,2,0
0,24,0.56,7,1,1,0
0,24,0.57,7,1,1,0
0,24,0.6,7,1,2,0
0,24,0.61,7,1,1,0
0,24,0.62,7,1,1,0
0,24,0.62,7,1,2,0
0,24,0.65,6,3,3,0
0,24,0.69,7,1,1,0
0,24,0.7,5,1,1,0
0,24,0.7,6,1,1,0
0,24,0.76,5,2,2,0
0,24,0.79,6,1,1,0
0,24,0.5,7,1,1,0
0,24,0.53,7,1,1,0
0,24,0.55,7,1,1,0
0,24,0.56,7,1,1,0
0,24,0.7,7,1,1,0
0,24,0.87,7,2,2,0
0,24,0.89,7,1,1,0
0,24,0.52,5,1,1,0
0,24,0.59,6,1,3,0
0,24,0.81,7,1,1,0
0,24,0.5,7,2,4,0
0,24,0.57,7,1,1,0
0,24,0.6,7,1,1,0
0,24,0.64,7,1,2,0
0,24,0.65,7,2,2,0
0,24,0.66,7,2,2,0
0,24,0.67,7,1,1,0
0,24,0.69,7,1,1,0
1,24,0.8,7,3,3,1
0,24,0.83,7,3,3,0
0,24,0.87,7,1,1,0
1,24,0.9,7,7,10,3
0,24,0.96,7,1,1,0
0,24,0.85,7,1,2,0
0,24,0.53,7,1,1,0
0,24,0.5,7,1,1,0
0,24,0.53,7,1,1,0
0,24,0.67,7,1,1,0
0,24,0.92,7,1,1,0
0,24,0.53,7,1,1,0
